id,bundeslandCode,bundeslandName,schoolYear,category,type,name_de,name_en,startDate,endDate,dateSemantics,sourceName,sourceUrl,lastCheckedAt,status,includeInDefaultCalendar,notes
bw-summer-2025-26,BW,Baden-Württemberg,2025/26,school_holiday,summer,Sommerferien,Summer holidays,2025-07-31,2025-09-13,inclusive_end_date,"Ministerium für Kultus, Jugend und Sport Baden-Württemberg",https://km.baden-wuerttemberg.de/de/service/ferien,2026-05-24,verified,True,
bw-autumn-2025-26,BW,Baden-Württemberg,2025/26,school_holiday,autumn,Herbstferien,Autumn holidays,2025-10-27,2025-10-30,inclusive_end_date,"Ministerium für Kultus, Jugend und Sport Baden-Württemberg",https://km.baden-wuerttemberg.de/de/service/ferien,2026-05-24,verified,True,
bw-school-free-2025-10-31,BW,Baden-Württemberg,2025/26,state_school_free_day,other,Schulfrei am Reformationsfest,School-free day on Reformation Day,2025-10-31,2025-10-31,inclusive_end_date,"Ministerium für Kultus, Jugend und Sport Baden-Württemberg",https://km.baden-wuerttemberg.de/de/service/ferien,2026-05-24,verified,True,Official footnote states that 31 October 2025 is school-free.
bw-christmas-2025-26,BW,Baden-Württemberg,2025/26,school_holiday,christmas,Weihnachtsferien,Christmas holidays,2025-12-22,2026-01-05,inclusive_end_date,"Ministerium für Kultus, Jugend und Sport Baden-Württemberg",https://km.baden-wuerttemberg.de/de/service/ferien,2026-05-24,verified,True,
bw-easter-2025-26,BW,Baden-Württemberg,2025/26,school_holiday,easter,Osterferien,Easter holidays,2026-03-30,2026-04-11,inclusive_end_date,"Ministerium für Kultus, Jugend und Sport Baden-Württemberg",https://km.baden-wuerttemberg.de/de/service/ferien,2026-05-24,verified,True,
bw-pentecost-2025-26,BW,Baden-Württemberg,2025/26,school_holiday,pentecost,Pfingstferien,Pentecost holidays,2026-05-26,2026-06-05,inclusive_end_date,"Ministerium für Kultus, Jugend und Sport Baden-Württemberg",https://km.baden-wuerttemberg.de/de/service/ferien,2026-05-24,verified,True,
bw-summer-2026-27,BW,Baden-Württemberg,2026/27,school_holiday,summer,Sommerferien,Summer holidays,2026-07-30,2026-09-12,inclusive_end_date,"Ministerium für Kultus, Jugend und Sport Baden-Württemberg",https://km.baden-wuerttemberg.de/de/service/ferien,2026-05-24,verified,True,
bw-autumn-2026-27,BW,Baden-Württemberg,2026/27,school_holiday,autumn,Herbstferien,Autumn holidays,2026-10-26,2026-10-30,inclusive_end_date,"Ministerium für Kultus, Jugend und Sport Baden-Württemberg",https://km.baden-wuerttemberg.de/de/service/ferien,2026-05-24,verified,True,
bw-school-free-2026-10-31,BW,Baden-Württemberg,2026/27,state_school_free_day,other,Schulfrei am Reformationsfest,School-free day on Reformation Day,2026-10-31,2026-10-31,inclusive_end_date,"Ministerium für Kultus, Jugend und Sport Baden-Württemberg",https://km.baden-wuerttemberg.de/de/service/ferien,2026-05-24,verified,True,Official footnote states that 31 October 2026 is school-free.
bw-christmas-2026-27,BW,Baden-Württemberg,2026/27,school_holiday,christmas,Weihnachtsferien,Christmas holidays,2026-12-23,2027-01-09,inclusive_end_date,"Ministerium für Kultus, Jugend und Sport Baden-Württemberg",https://km.baden-wuerttemberg.de/de/service/ferien,2026-05-24,verified,True,
