id,bundeslandCode,bundeslandName,schoolYear,category,type,name_de,name_en,startDate,endDate,dateSemantics,sourceName,sourceUrl,lastCheckedAt,status,includeInDefaultCalendar,notes
by-summer-2025-26,BY,Bayern,2025/26,school_holiday,summer,Sommerferien,Summer holidays,2025-08-01,2025-09-15,inclusive_end_date,Bayerisches Staatsministerium für Unterricht und Kultus / Bayern.Recht,https://www.gesetze-bayern.de/Content/Document/BayVV_2230_1_1_0_K_13479/true,2026-05-24,verified,True,
by-all-saints-2025-26,BY,Bayern,2025/26,state_school_free_day,all_saints,unterrichtsfreie Tage um Allerheiligen,School-free days around All Saints' Day,2025-11-03,2025-11-07,inclusive_end_date,Bayerisches Staatsministerium für Unterricht und Kultus / Bayern.Recht,https://www.gesetze-bayern.de/Content/Document/BayVV_2230_1_1_0_K_13479/true,2026-05-24,verified,True,Included because Bayern publishes these as official state-level dates.
by-christmas-2025-26,BY,Bayern,2025/26,school_holiday,christmas,Weihnachtsferien,Christmas holidays,2025-12-22,2026-01-05,inclusive_end_date,Bayerisches Staatsministerium für Unterricht und Kultus / Bayern.Recht,https://www.gesetze-bayern.de/Content/Document/BayVV_2230_1_1_0_K_13479/true,2026-05-24,verified,True,
by-spring-2025-26,BY,Bayern,2025/26,school_holiday,spring,Frühjahrsferien,Spring holidays,2026-02-16,2026-02-20,inclusive_end_date,Bayerisches Staatsministerium für Unterricht und Kultus / Bayern.Recht,https://www.gesetze-bayern.de/Content/Document/BayVV_2230_1_1_0_K_13479/true,2026-05-24,verified,True,
by-easter-2025-26,BY,Bayern,2025/26,school_holiday,easter,Osterferien,Easter holidays,2026-03-30,2026-04-10,inclusive_end_date,Bayerisches Staatsministerium für Unterricht und Kultus / Bayern.Recht,https://www.gesetze-bayern.de/Content/Document/BayVV_2230_1_1_0_K_13479/true,2026-05-24,verified,True,
by-pentecost-2025-26,BY,Bayern,2025/26,school_holiday,pentecost,Pfingstferien,Pentecost holidays,2026-05-26,2026-06-05,inclusive_end_date,Bayerisches Staatsministerium für Unterricht und Kultus / Bayern.Recht,https://www.gesetze-bayern.de/Content/Document/BayVV_2230_1_1_0_K_13479/true,2026-05-24,verified,True,
by-summer-2026-27,BY,Bayern,2026/27,school_holiday,summer,Sommerferien,Summer holidays,2026-08-03,2026-09-14,inclusive_end_date,Bayerisches Staatsministerium für Unterricht und Kultus / Bayern.Recht,https://www.gesetze-bayern.de/Content/Document/BayVV_2230_1_1_0_K_13479/true,2026-05-24,verified,True,
by-all-saints-2026-27,BY,Bayern,2026/27,state_school_free_day,all_saints,unterrichtsfreie Tage um Allerheiligen,School-free days around All Saints' Day,2026-11-02,2026-11-06,inclusive_end_date,Bayerisches Staatsministerium für Unterricht und Kultus / Bayern.Recht,https://www.gesetze-bayern.de/Content/Document/BayVV_2230_1_1_0_K_13479/true,2026-05-24,verified,True,Included because Bayern publishes these as official state-level dates.
by-christmas-2026-27,BY,Bayern,2026/27,school_holiday,christmas,Weihnachtsferien,Christmas holidays,2026-12-24,2027-01-08,inclusive_end_date,Bayerisches Staatsministerium für Unterricht und Kultus / Bayern.Recht,https://www.gesetze-bayern.de/Content/Document/BayVV_2230_1_1_0_K_13479/true,2026-05-24,verified,True,
by-spring-2026-27,BY,Bayern,2026/27,school_holiday,spring,Frühjahrsferien,Spring holidays,2027-02-08,2027-02-12,inclusive_end_date,Bayerisches Staatsministerium für Unterricht und Kultus / Bayern.Recht,https://www.gesetze-bayern.de/Content/Document/BayVV_2230_1_1_0_K_13479/true,2026-05-24,verified,True,
by-easter-2026-27,BY,Bayern,2026/27,school_holiday,easter,Osterferien,Easter holidays,2027-03-22,2027-04-02,inclusive_end_date,Bayerisches Staatsministerium für Unterricht und Kultus / Bayern.Recht,https://www.gesetze-bayern.de/Content/Document/BayVV_2230_1_1_0_K_13479/true,2026-05-24,verified,True,
by-pentecost-2026-27,BY,Bayern,2026/27,school_holiday,pentecost,Pfingstferien,Pentecost holidays,2027-05-18,2027-05-28,inclusive_end_date,Bayerisches Staatsministerium für Unterricht und Kultus / Bayern.Recht,https://www.gesetze-bayern.de/Content/Document/BayVV_2230_1_1_0_K_13479/true,2026-05-24,verified,True,
by-summer-2027-28,BY,Bayern,2027/28,school_holiday,summer,Sommerferien,Summer holidays,2027-08-02,2027-09-13,inclusive_end_date,Bayerisches Staatsministerium für Unterricht und Kultus / Bayern.Recht,https://www.gesetze-bayern.de/Content/Document/BayVV_2230_1_1_0_K_13479/true,2026-05-24,verified,True,
by-all-saints-2027-28,BY,Bayern,2027/28,state_school_free_day,all_saints,unterrichtsfreie Tage um Allerheiligen,School-free days around All Saints' Day,2027-11-02,2027-11-05,inclusive_end_date,Bayerisches Staatsministerium für Unterricht und Kultus / Bayern.Recht,https://www.gesetze-bayern.de/Content/Document/BayVV_2230_1_1_0_K_13479/true,2026-05-24,verified,True,Included because Bayern publishes these as official state-level dates.
by-christmas-2027-28,BY,Bayern,2027/28,school_holiday,christmas,Weihnachtsferien,Christmas holidays,2027-12-24,2028-01-07,inclusive_end_date,Bayerisches Staatsministerium für Unterricht und Kultus / Bayern.Recht,https://www.gesetze-bayern.de/Content/Document/BayVV_2230_1_1_0_K_13479/true,2026-05-24,verified,True,
by-spring-2027-28,BY,Bayern,2027/28,school_holiday,spring,Frühjahrsferien,Spring holidays,2028-02-28,2028-03-03,inclusive_end_date,Bayerisches Staatsministerium für Unterricht und Kultus / Bayern.Recht,https://www.gesetze-bayern.de/Content/Document/BayVV_2230_1_1_0_K_13479/true,2026-05-24,verified,True,
by-easter-2027-28,BY,Bayern,2027/28,school_holiday,easter,Osterferien,Easter holidays,2028-04-10,2028-04-21,inclusive_end_date,Bayerisches Staatsministerium für Unterricht und Kultus / Bayern.Recht,https://www.gesetze-bayern.de/Content/Document/BayVV_2230_1_1_0_K_13479/true,2026-05-24,verified,True,
