id,bundeslandCode,bundeslandName,schoolYear,category,type,name_de,name_en,startDate,endDate,dateSemantics,sourceName,sourceUrl,lastCheckedAt,status,includeInDefaultCalendar,notes
be-autumn-2025-26,BE,Berlin,2025/26,school_holiday,autumn,Herbstferien,Autumn holidays,2025-10-20,2025-11-01,inclusive_end_date,"Senatsverwaltung für Bildung, Jugend und Familie Berlin",https://www.berlin.de/sen/bjf/service/kalender/ferien/ferienordnung-des-landes-berlin-2024_2025-bis-2029_2030.pdf?ts=1778499519,2026-05-24,verified,True,
be-christmas-2025-26,BE,Berlin,2025/26,school_holiday,christmas,Weihnachtsferien,Christmas holidays,2025-12-22,2026-01-02,inclusive_end_date,"Senatsverwaltung für Bildung, Jugend und Familie Berlin",https://www.berlin.de/sen/bjf/service/kalender/ferien/ferienordnung-des-landes-berlin-2024_2025-bis-2029_2030.pdf?ts=1778499519,2026-05-24,verified,True,
be-winter-2025-26,BE,Berlin,2025/26,school_holiday,winter,Winterferien,Winter holidays,2026-02-02,2026-02-07,inclusive_end_date,"Senatsverwaltung für Bildung, Jugend und Familie Berlin",https://www.berlin.de/sen/bjf/service/kalender/ferien/ferienordnung-des-landes-berlin-2024_2025-bis-2029_2030.pdf?ts=1778499519,2026-05-24,verified,True,
be-easter-2025-26,BE,Berlin,2025/26,school_holiday,easter,Osterferien,Easter holidays,2026-03-30,2026-04-10,inclusive_end_date,"Senatsverwaltung für Bildung, Jugend und Familie Berlin",https://www.berlin.de/sen/bjf/service/kalender/ferien/ferienordnung-des-landes-berlin-2024_2025-bis-2029_2030.pdf?ts=1778499519,2026-05-24,verified,True,
be-school-free-2026-05-15,BE,Berlin,2025/26,state_school_free_day,other,Unterrichtsfreier Tag nach AZVO,School-free day under AZVO,2026-05-15,2026-05-15,inclusive_end_date,"Senatsverwaltung für Bildung, Jugend und Familie Berlin",https://www.berlin.de/sen/bjf/service/kalender/ferien/ferienordnung-des-landes-berlin-2024_2025-bis-2029_2030.pdf?ts=1778499519,2026-05-24,verified,True,Included because Berlin publishes this as an official state-level date.
be-pentecost-2025-26,BE,Berlin,2025/26,school_holiday,pentecost,Pfingstferien,Pentecost holiday,2026-05-26,2026-05-26,inclusive_end_date,"Senatsverwaltung für Bildung, Jugend und Familie Berlin",https://www.berlin.de/sen/bjf/service/kalender/ferien/ferienordnung-des-landes-berlin-2024_2025-bis-2029_2030.pdf?ts=1778499519,2026-05-24,verified,True,
be-summer-2025-26,BE,Berlin,2025/26,school_holiday,summer,Sommerferien,Summer holidays,2026-07-09,2026-08-22,inclusive_end_date,"Senatsverwaltung für Bildung, Jugend und Familie Berlin",https://www.berlin.de/sen/bjf/service/kalender/ferien/ferienordnung-des-landes-berlin-2024_2025-bis-2029_2030.pdf?ts=1778499519,2026-05-24,verified,True,
be-autumn-2026-27,BE,Berlin,2026/27,school_holiday,autumn,Herbstferien,Autumn holidays,2026-10-19,2026-10-31,inclusive_end_date,"Senatsverwaltung für Bildung, Jugend und Familie Berlin",https://www.berlin.de/sen/bjf/service/kalender/ferien/ferienordnung-des-landes-berlin-2024_2025-bis-2029_2030.pdf?ts=1778499519,2026-05-24,verified,True,
be-christmas-2026-27,BE,Berlin,2026/27,school_holiday,christmas,Weihnachtsferien,Christmas holidays,2026-12-23,2027-01-02,inclusive_end_date,"Senatsverwaltung für Bildung, Jugend und Familie Berlin",https://www.berlin.de/sen/bjf/service/kalender/ferien/ferienordnung-des-landes-berlin-2024_2025-bis-2029_2030.pdf?ts=1778499519,2026-05-24,verified,True,
be-winter-2026-27,BE,Berlin,2026/27,school_holiday,winter,Winterferien,Winter holidays,2027-02-01,2027-02-06,inclusive_end_date,"Senatsverwaltung für Bildung, Jugend und Familie Berlin",https://www.berlin.de/sen/bjf/service/kalender/ferien/ferienordnung-des-landes-berlin-2024_2025-bis-2029_2030.pdf?ts=1778499519,2026-05-24,verified,True,
be-easter-2026-27,BE,Berlin,2026/27,school_holiday,easter,Osterferien,Easter holidays,2027-03-22,2027-04-02,inclusive_end_date,"Senatsverwaltung für Bildung, Jugend und Familie Berlin",https://www.berlin.de/sen/bjf/service/kalender/ferien/ferienordnung-des-landes-berlin-2024_2025-bis-2029_2030.pdf?ts=1778499519,2026-05-24,verified,True,
be-school-free-2027-05-07,BE,Berlin,2026/27,state_school_free_day,other,Unterrichtsfreier Tag nach AZVO,School-free day under AZVO,2027-05-07,2027-05-07,inclusive_end_date,"Senatsverwaltung für Bildung, Jugend und Familie Berlin",https://www.berlin.de/sen/bjf/service/kalender/ferien/ferienordnung-des-landes-berlin-2024_2025-bis-2029_2030.pdf?ts=1778499519,2026-05-24,verified,True,Included because Berlin publishes this as an official state-level date.
