id,bundeslandCode,bundeslandName,schoolYear,category,type,name_de,name_en,startDate,endDate,dateSemantics,sourceName,sourceUrl,lastCheckedAt,status,includeInDefaultCalendar,notes
hh-autumn-2025-26,HH,Hamburg,2025/26,school_holiday,autumn,Herbstferien,Autumn holidays,2025-10-20,2025-10-31,inclusive_end_date,"Behörde für Schule, Familie und Berufsbildung Hamburg",https://www.hamburg.de/resource/blob/134372/5bc131bdd36a604f67b361d21f7df37e/ferienordnung-hamburg-2024-2030-data.pdf,2026-05-24,verified,True,
hh-christmas-2025-26,HH,Hamburg,2025/26,school_holiday,christmas,Weihnachtsferien,Christmas holidays,2025-12-17,2026-01-02,inclusive_end_date,"Behörde für Schule, Familie und Berufsbildung Hamburg",https://www.hamburg.de/resource/blob/134372/5bc131bdd36a604f67b361d21f7df37e/ferienordnung-hamburg-2024-2030-data.pdf,2026-05-24,verified,True,
hh-winter-2025-26,HH,Hamburg,2025/26,school_holiday,winter,Halbjahrespause,Mid-year break,2026-01-30,2026-01-30,inclusive_end_date,"Behörde für Schule, Familie und Berufsbildung Hamburg",https://www.hamburg.de/resource/blob/134372/5bc131bdd36a604f67b361d21f7df37e/ferienordnung-hamburg-2024-2030-data.pdf,2026-05-24,verified,True,Official Hamburg Ferienordnung lists Halbjahrespause in parentheses.
hh-spring-2025-26,HH,Hamburg,2025/26,school_holiday,spring,Frühjahrsferien,Spring holidays,2026-03-02,2026-03-13,inclusive_end_date,"Behörde für Schule, Familie und Berufsbildung Hamburg",https://www.hamburg.de/resource/blob/134372/5bc131bdd36a604f67b361d21f7df37e/ferienordnung-hamburg-2024-2030-data.pdf,2026-05-24,verified,True,
hh-pentecost-2025-26,HH,Hamburg,2025/26,school_holiday,pentecost,Himmelfahrt/Pfingsten,Ascension/Pentecost holidays,2026-05-11,2026-05-15,inclusive_end_date,"Behörde für Schule, Familie und Berufsbildung Hamburg",https://www.hamburg.de/resource/blob/134372/5bc131bdd36a604f67b361d21f7df37e/ferienordnung-hamburg-2024-2030-data.pdf,2026-05-24,verified,True,
hh-summer-2025-26,HH,Hamburg,2025/26,school_holiday,summer,Sommerferien,Summer holidays,2026-07-09,2026-08-19,inclusive_end_date,"Behörde für Schule, Familie und Berufsbildung Hamburg",https://www.hamburg.de/resource/blob/134372/5bc131bdd36a604f67b361d21f7df37e/ferienordnung-hamburg-2024-2030-data.pdf,2026-05-24,verified,True,
hh-autumn-2026-27,HH,Hamburg,2026/27,school_holiday,autumn,Herbstferien,Autumn holidays,2026-10-19,2026-10-30,inclusive_end_date,"Behörde für Schule, Familie und Berufsbildung Hamburg",https://www.hamburg.de/resource/blob/134372/5bc131bdd36a604f67b361d21f7df37e/ferienordnung-hamburg-2024-2030-data.pdf,2026-05-24,verified,True,
hh-christmas-2026-27,HH,Hamburg,2026/27,school_holiday,christmas,Weihnachtsferien,Christmas holidays,2026-12-21,2027-01-01,inclusive_end_date,"Behörde für Schule, Familie und Berufsbildung Hamburg",https://www.hamburg.de/resource/blob/134372/5bc131bdd36a604f67b361d21f7df37e/ferienordnung-hamburg-2024-2030-data.pdf,2026-05-24,verified,True,
hh-winter-2026-27,HH,Hamburg,2026/27,school_holiday,winter,Halbjahrespause,Mid-year break,2027-01-29,2027-01-29,inclusive_end_date,"Behörde für Schule, Familie und Berufsbildung Hamburg",https://www.hamburg.de/resource/blob/134372/5bc131bdd36a604f67b361d21f7df37e/ferienordnung-hamburg-2024-2030-data.pdf,2026-05-24,verified,True,Official Hamburg Ferienordnung lists Halbjahrespause in parentheses.
hh-spring-2026-27,HH,Hamburg,2026/27,school_holiday,spring,Frühjahrsferien,Spring holidays,2027-03-01,2027-03-12,inclusive_end_date,"Behörde für Schule, Familie und Berufsbildung Hamburg",https://www.hamburg.de/resource/blob/134372/5bc131bdd36a604f67b361d21f7df37e/ferienordnung-hamburg-2024-2030-data.pdf,2026-05-24,verified,True,
