id,bundeslandCode,bundeslandName,schoolYear,category,type,name_de,name_en,startDate,endDate,dateSemantics,sourceName,sourceUrl,lastCheckedAt,status,includeInDefaultCalendar,notes
he-autumn-2025-26,HE,Hessen,2025/26,school_holiday,autumn,Herbstferien,Autumn holidays,2025-10-06,2025-10-18,inclusive_end_date,"Hessisches Ministerium für Kultus, Bildung und Chancen",https://kultus.hessen.de/schulsystem/ferien/ferientermine,2026-05-24,verified,True,
he-christmas-2025-26,HE,Hessen,2025/26,school_holiday,christmas,Weihnachtsferien,Christmas holidays,2025-12-22,2026-01-10,inclusive_end_date,"Hessisches Ministerium für Kultus, Bildung und Chancen",https://kultus.hessen.de/schulsystem/ferien/ferientermine,2026-05-24,verified,True,
he-easter-2025-26,HE,Hessen,2025/26,school_holiday,easter,Osterferien,Easter holidays,2026-03-30,2026-04-10,inclusive_end_date,"Hessisches Ministerium für Kultus, Bildung und Chancen",https://kultus.hessen.de/schulsystem/ferien/ferientermine,2026-05-24,verified,True,
he-summer-2025-26,HE,Hessen,2025/26,school_holiday,summer,Sommerferien,Summer holidays,2026-06-29,2026-08-07,inclusive_end_date,"Hessisches Ministerium für Kultus, Bildung und Chancen",https://kultus.hessen.de/schulsystem/ferien/ferientermine,2026-05-24,verified,True,
he-autumn-2026-27,HE,Hessen,2026/27,school_holiday,autumn,Herbstferien,Autumn holidays,2026-10-05,2026-10-17,inclusive_end_date,"Hessisches Ministerium für Kultus, Bildung und Chancen",https://kultus.hessen.de/schulsystem/ferien/ferientermine,2026-05-24,verified,True,
he-christmas-2026-27,HE,Hessen,2026/27,school_holiday,christmas,Weihnachtsferien,Christmas holidays,2026-12-23,2027-01-12,inclusive_end_date,"Hessisches Ministerium für Kultus, Bildung und Chancen",https://kultus.hessen.de/schulsystem/ferien/ferientermine,2026-05-24,verified,True,
he-easter-2026-27,HE,Hessen,2026/27,school_holiday,easter,Osterferien,Easter holidays,2027-03-22,2027-04-02,inclusive_end_date,"Hessisches Ministerium für Kultus, Bildung und Chancen",https://kultus.hessen.de/schulsystem/ferien/ferientermine,2026-05-24,verified,True,
he-summer-2026-27,HE,Hessen,2026/27,school_holiday,summer,Sommerferien,Summer holidays,2027-06-28,2027-08-06,inclusive_end_date,"Hessisches Ministerium für Kultus, Bildung und Chancen",https://kultus.hessen.de/schulsystem/ferien/ferientermine,2026-05-24,verified,True,
he-autumn-2027-28,HE,Hessen,2027/28,school_holiday,autumn,Herbstferien,Autumn holidays,2027-10-04,2027-10-16,inclusive_end_date,"Hessisches Ministerium für Kultus, Bildung und Chancen",https://kultus.hessen.de/schulsystem/ferien/ferientermine,2026-05-24,verified,True,
he-christmas-2027-28,HE,Hessen,2027/28,school_holiday,christmas,Weihnachtsferien,Christmas holidays,2027-12-23,2028-01-11,inclusive_end_date,"Hessisches Ministerium für Kultus, Bildung und Chancen",https://kultus.hessen.de/schulsystem/ferien/ferientermine,2026-05-24,verified,True,
he-easter-2027-28,HE,Hessen,2027/28,school_holiday,easter,Osterferien,Easter holidays,2028-04-03,2028-04-14,inclusive_end_date,"Hessisches Ministerium für Kultus, Bildung und Chancen",https://kultus.hessen.de/schulsystem/ferien/ferientermine,2026-05-24,verified,True,
he-summer-2027-28,HE,Hessen,2027/28,school_holiday,summer,Sommerferien,Summer holidays,2028-07-03,2028-08-11,inclusive_end_date,"Hessisches Ministerium für Kultus, Bildung und Chancen",https://kultus.hessen.de/schulsystem/ferien/ferientermine,2026-05-24,verified,True,
he-autumn-2028-29,HE,Hessen,2028/29,school_holiday,autumn,Herbstferien,Autumn holidays,2028-10-09,2028-10-20,inclusive_end_date,"Hessisches Ministerium für Kultus, Bildung und Chancen",https://kultus.hessen.de/schulsystem/ferien/ferientermine,2026-05-24,verified,True,
he-christmas-2028-29,HE,Hessen,2028/29,school_holiday,christmas,Weihnachtsferien,Christmas holidays,2028-12-27,2029-01-12,inclusive_end_date,"Hessisches Ministerium für Kultus, Bildung und Chancen",https://kultus.hessen.de/schulsystem/ferien/ferientermine,2026-05-24,verified,True,
he-easter-2028-29,HE,Hessen,2028/29,school_holiday,easter,Osterferien,Easter holidays,2029-03-29,2029-04-13,inclusive_end_date,"Hessisches Ministerium für Kultus, Bildung und Chancen",https://kultus.hessen.de/schulsystem/ferien/ferientermine,2026-05-24,verified,True,
he-summer-2028-29,HE,Hessen,2028/29,school_holiday,summer,Sommerferien,Summer holidays,2029-07-16,2029-08-24,inclusive_end_date,"Hessisches Ministerium für Kultus, Bildung und Chancen",https://kultus.hessen.de/schulsystem/ferien/ferientermine,2026-05-24,verified,True,
he-autumn-2029-30,HE,Hessen,2029/30,school_holiday,autumn,Herbstferien,Autumn holidays,2029-10-15,2029-10-26,inclusive_end_date,"Hessisches Ministerium für Kultus, Bildung und Chancen",https://kultus.hessen.de/schulsystem/ferien/ferientermine,2026-05-24,verified,True,
he-christmas-2029-30,HE,Hessen,2029/30,school_holiday,christmas,Weihnachtsferien,Christmas holidays,2029-12-24,2030-01-11,inclusive_end_date,"Hessisches Ministerium für Kultus, Bildung und Chancen",https://kultus.hessen.de/schulsystem/ferien/ferientermine,2026-05-24,verified,True,
he-easter-2029-30,HE,Hessen,2029/30,school_holiday,easter,Osterferien,Easter holidays,2030-04-08,2030-04-22,inclusive_end_date,"Hessisches Ministerium für Kultus, Bildung und Chancen",https://kultus.hessen.de/schulsystem/ferien/ferientermine,2026-05-24,verified,True,
he-summer-2029-30,HE,Hessen,2029/30,school_holiday,summer,Sommerferien,Summer holidays,2030-07-22,2030-08-30,inclusive_end_date,"Hessisches Ministerium für Kultus, Bildung und Chancen",https://kultus.hessen.de/schulsystem/ferien/ferientermine,2026-05-24,verified,True,
