id,bundeslandCode,bundeslandName,schoolYear,category,type,name_de,name_en,startDate,endDate,dateSemantics,sourceName,sourceUrl,lastCheckedAt,status,includeInDefaultCalendar,notes
mv-school-free-2025-10-02,MV,Mecklenburg-Vorpommern,2025/26,state_school_free_day,other,zusätzlicher feststehender Ferientag,Additional fixed school-free day,2025-10-02,2025-10-02,inclusive_end_date,Ministerium für Bildung und Kindertagesförderung Mecklenburg-Vorpommern,https://www.regierung-mv.de/serviceassistent/download?id=1681582,2026-05-24,verified,True,Official additional fixed school-free day for general schools.
mv-autumn-2025-26,MV,Mecklenburg-Vorpommern,2025/26,school_holiday,autumn,Herbstferien,Autumn holidays,2025-10-20,2025-10-24,inclusive_end_date,Ministerium für Bildung und Kindertagesförderung Mecklenburg-Vorpommern,https://www.regierung-mv.de/serviceassistent/download?id=1681582,2026-05-24,verified,True,
mv-school-free-2025-11-03,MV,Mecklenburg-Vorpommern,2025/26,state_school_free_day,other,zusätzlicher feststehender Ferientag,Additional fixed school-free day,2025-11-03,2025-11-03,inclusive_end_date,Ministerium für Bildung und Kindertagesförderung Mecklenburg-Vorpommern,https://www.regierung-mv.de/serviceassistent/download?id=1681582,2026-05-24,verified,True,Official additional fixed school-free day for general schools.
mv-christmas-2025-26,MV,Mecklenburg-Vorpommern,2025/26,school_holiday,christmas,Weihnachtsferien,Christmas holidays,2025-12-20,2026-01-03,inclusive_end_date,Ministerium für Bildung und Kindertagesförderung Mecklenburg-Vorpommern,https://www.regierung-mv.de/serviceassistent/download?id=1681582,2026-05-24,verified,True,
mv-winter-2025-26,MV,Mecklenburg-Vorpommern,2025/26,school_holiday,winter,Winterferien,Winter holidays,2026-02-09,2026-02-20,inclusive_end_date,Ministerium für Bildung und Kindertagesförderung Mecklenburg-Vorpommern,https://www.regierung-mv.de/serviceassistent/download?id=1681582,2026-05-24,verified,True,
mv-easter-2025-26,MV,Mecklenburg-Vorpommern,2025/26,school_holiday,easter,Osterferien,Easter holidays,2026-03-30,2026-04-08,inclusive_end_date,Ministerium für Bildung und Kindertagesförderung Mecklenburg-Vorpommern,https://www.regierung-mv.de/serviceassistent/download?id=1681582,2026-05-24,verified,True,
mv-school-free-2026-05-15,MV,Mecklenburg-Vorpommern,2025/26,state_school_free_day,other,zusätzlicher feststehender Ferientag,Additional fixed school-free day,2026-05-15,2026-05-15,inclusive_end_date,Ministerium für Bildung und Kindertagesförderung Mecklenburg-Vorpommern,https://www.regierung-mv.de/serviceassistent/download?id=1681582,2026-05-24,verified,True,Official additional fixed school-free day for general schools.
mv-pentecost-2025-26,MV,Mecklenburg-Vorpommern,2025/26,school_holiday,pentecost,Pfingstferien,Pentecost holidays,2026-05-22,2026-05-26,inclusive_end_date,Ministerium für Bildung und Kindertagesförderung Mecklenburg-Vorpommern,https://www.regierung-mv.de/serviceassistent/download?id=1681582,2026-05-24,verified,True,
mv-summer-2025-26,MV,Mecklenburg-Vorpommern,2025/26,school_holiday,summer,Sommerferien,Summer holidays,2026-07-13,2026-08-22,inclusive_end_date,Ministerium für Bildung und Kindertagesförderung Mecklenburg-Vorpommern,https://www.regierung-mv.de/serviceassistent/download?id=1681582,2026-05-24,verified,True,
mv-autumn-2026-27,MV,Mecklenburg-Vorpommern,2026/27,school_holiday,autumn,Herbstferien,Autumn holidays,2026-10-15,2026-10-24,inclusive_end_date,Ministerium für Bildung und Kindertagesförderung Mecklenburg-Vorpommern,https://www.regierung-mv.de/serviceassistent/download?id=1681582,2026-05-24,verified,True,
mv-christmas-2026-27,MV,Mecklenburg-Vorpommern,2026/27,school_holiday,christmas,Weihnachtsferien,Christmas holidays,2026-12-21,2027-01-02,inclusive_end_date,Ministerium für Bildung und Kindertagesförderung Mecklenburg-Vorpommern,https://www.regierung-mv.de/serviceassistent/download?id=1681582,2026-05-24,verified,True,
mv-winter-2026-27,MV,Mecklenburg-Vorpommern,2026/27,school_holiday,winter,Winterferien,Winter holidays,2027-02-08,2027-02-19,inclusive_end_date,Ministerium für Bildung und Kindertagesförderung Mecklenburg-Vorpommern,https://www.regierung-mv.de/serviceassistent/download?id=1681582,2026-05-24,verified,True,
mv-easter-2026-27,MV,Mecklenburg-Vorpommern,2026/27,school_holiday,easter,Osterferien,Easter holidays,2027-03-24,2027-04-02,inclusive_end_date,Ministerium für Bildung und Kindertagesförderung Mecklenburg-Vorpommern,https://www.regierung-mv.de/serviceassistent/download?id=1681582,2026-05-24,verified,True,
mv-school-free-2027-05-07,MV,Mecklenburg-Vorpommern,2026/27,state_school_free_day,other,zusätzlicher feststehender Ferientag,Additional fixed school-free day,2027-05-07,2027-05-07,inclusive_end_date,Ministerium für Bildung und Kindertagesförderung Mecklenburg-Vorpommern,https://www.regierung-mv.de/serviceassistent/download?id=1681582,2026-05-24,verified,True,Official additional fixed school-free day for general schools.
mv-pentecost-2026-27,MV,Mecklenburg-Vorpommern,2026/27,school_holiday,pentecost,Pfingstferien,Pentecost holidays,2027-05-14,2027-05-18,inclusive_end_date,Ministerium für Bildung und Kindertagesförderung Mecklenburg-Vorpommern,https://www.regierung-mv.de/serviceassistent/download?id=1681582,2026-05-24,verified,True,
mv-summer-2026-27,MV,Mecklenburg-Vorpommern,2026/27,school_holiday,summer,Sommerferien,Summer holidays,2027-07-05,2027-08-14,inclusive_end_date,Ministerium für Bildung und Kindertagesförderung Mecklenburg-Vorpommern,https://www.regierung-mv.de/serviceassistent/download?id=1681582,2026-05-24,verified,True,
mv-autumn-2027-28,MV,Mecklenburg-Vorpommern,2027/28,school_holiday,autumn,Herbstferien,Autumn holidays,2027-10-14,2027-10-23,inclusive_end_date,Ministerium für Bildung und Kindertagesförderung Mecklenburg-Vorpommern,https://www.regierung-mv.de/serviceassistent/download?id=1681582,2026-05-24,verified,True,
mv-christmas-2027-28,MV,Mecklenburg-Vorpommern,2027/28,school_holiday,christmas,Weihnachtsferien,Christmas holidays,2027-12-22,2028-01-04,inclusive_end_date,Ministerium für Bildung und Kindertagesförderung Mecklenburg-Vorpommern,https://www.regierung-mv.de/serviceassistent/download?id=1681582,2026-05-24,verified,True,
mv-winter-2027-28,MV,Mecklenburg-Vorpommern,2027/28,school_holiday,winter,Winterferien,Winter holidays,2028-02-05,2028-02-17,inclusive_end_date,Ministerium für Bildung und Kindertagesförderung Mecklenburg-Vorpommern,https://www.regierung-mv.de/serviceassistent/download?id=1681582,2026-05-24,verified,True,
mv-school-free-2028-02-18,MV,Mecklenburg-Vorpommern,2027/28,state_school_free_day,bridge_day,schulfreier Brückentag,School-free bridge day,2028-02-18,2028-02-18,inclusive_end_date,Ministerium für Bildung und Kindertagesförderung Mecklenburg-Vorpommern,https://www.regierung-mv.de/serviceassistent/download?id=1681582,2026-05-24,verified,True,Footnote grants 18 February 2028 as school-free bridge day after winter holidays.
mv-easter-2027-28,MV,Mecklenburg-Vorpommern,2027/28,school_holiday,easter,Osterferien,Easter holidays,2028-04-12,2028-04-21,inclusive_end_date,Ministerium für Bildung und Kindertagesförderung Mecklenburg-Vorpommern,https://www.regierung-mv.de/serviceassistent/download?id=1681582,2026-05-24,verified,True,
mv-school-free-2028-05-26,MV,Mecklenburg-Vorpommern,2027/28,state_school_free_day,other,zusätzlicher feststehender Ferientag,Additional fixed school-free day,2028-05-26,2028-05-26,inclusive_end_date,Ministerium für Bildung und Kindertagesförderung Mecklenburg-Vorpommern,https://www.regierung-mv.de/serviceassistent/download?id=1681582,2026-05-24,verified,True,Official additional fixed school-free day for general schools.
mv-pentecost-2027-28,MV,Mecklenburg-Vorpommern,2027/28,school_holiday,pentecost,Pfingstferien,Pentecost holidays,2028-06-02,2028-06-06,inclusive_end_date,Ministerium für Bildung und Kindertagesförderung Mecklenburg-Vorpommern,https://www.regierung-mv.de/serviceassistent/download?id=1681582,2026-05-24,verified,True,
mv-summer-2027-28,MV,Mecklenburg-Vorpommern,2027/28,school_holiday,summer,Sommerferien,Summer holidays,2028-06-26,2028-08-05,inclusive_end_date,Ministerium für Bildung und Kindertagesförderung Mecklenburg-Vorpommern,https://www.regierung-mv.de/serviceassistent/download?id=1681582,2026-05-24,verified,True,
mv-school-free-2028-10-02,MV,Mecklenburg-Vorpommern,2028/29,state_school_free_day,other,zusätzlicher feststehender Ferientag,Additional fixed school-free day,2028-10-02,2028-10-02,inclusive_end_date,Ministerium für Bildung und Kindertagesförderung Mecklenburg-Vorpommern,https://www.regierung-mv.de/serviceassistent/download?id=1681582,2026-05-24,verified,True,Official additional fixed school-free day for general schools.
mv-autumn-2028-29,MV,Mecklenburg-Vorpommern,2028/29,school_holiday,autumn,Herbstferien,Autumn holidays,2028-10-23,2028-10-28,inclusive_end_date,Ministerium für Bildung und Kindertagesförderung Mecklenburg-Vorpommern,https://www.regierung-mv.de/serviceassistent/download?id=1681582,2026-05-24,verified,True,
mv-school-free-2028-10-30,MV,Mecklenburg-Vorpommern,2028/29,state_school_free_day,other,zusätzlicher feststehender Ferientag,Additional fixed school-free day,2028-10-30,2028-10-30,inclusive_end_date,Ministerium für Bildung und Kindertagesförderung Mecklenburg-Vorpommern,https://www.regierung-mv.de/serviceassistent/download?id=1681582,2026-05-24,verified,True,Official additional fixed school-free day for general schools.
mv-christmas-2028-29,MV,Mecklenburg-Vorpommern,2028/29,school_holiday,christmas,Weihnachtsferien,Christmas holidays,2028-12-22,2029-01-02,inclusive_end_date,Ministerium für Bildung und Kindertagesförderung Mecklenburg-Vorpommern,https://www.regierung-mv.de/serviceassistent/download?id=1681582,2026-05-24,verified,True,
mv-winter-2028-29,MV,Mecklenburg-Vorpommern,2028/29,school_holiday,winter,Winterferien,Winter holidays,2029-02-05,2029-02-16,inclusive_end_date,Ministerium für Bildung und Kindertagesförderung Mecklenburg-Vorpommern,https://www.regierung-mv.de/serviceassistent/download?id=1681582,2026-05-24,verified,True,
mv-school-free-2029-03-09,MV,Mecklenburg-Vorpommern,2028/29,state_school_free_day,other,zusätzlicher feststehender Ferientag,Additional fixed school-free day,2029-03-09,2029-03-09,inclusive_end_date,Ministerium für Bildung und Kindertagesförderung Mecklenburg-Vorpommern,https://www.regierung-mv.de/serviceassistent/download?id=1681582,2026-05-24,verified,True,Official additional fixed school-free day inserted by 2025 amendment.
mv-easter-2028-29,MV,Mecklenburg-Vorpommern,2028/29,school_holiday,easter,Osterferien,Easter holidays,2029-03-28,2029-04-06,inclusive_end_date,Ministerium für Bildung und Kindertagesförderung Mecklenburg-Vorpommern,https://www.regierung-mv.de/serviceassistent/download?id=1681582,2026-05-24,verified,True,
mv-school-free-2029-04-30,MV,Mecklenburg-Vorpommern,2028/29,state_school_free_day,other,zusätzlicher feststehender Ferientag,Additional fixed school-free day,2029-04-30,2029-04-30,inclusive_end_date,Ministerium für Bildung und Kindertagesförderung Mecklenburg-Vorpommern,https://www.regierung-mv.de/serviceassistent/download?id=1681582,2026-05-24,verified,True,Official additional fixed school-free day inserted by 2025 amendment.
