id,bundeslandCode,bundeslandName,schoolYear,category,type,name_de,name_en,startDate,endDate,dateSemantics,sourceName,sourceUrl,lastCheckedAt,status,includeInDefaultCalendar,notes
ni-summer-2025-26,NI,Niedersachsen,2025/26,school_holiday,summer,Sommerferien,Summer holidays,2025-07-03,2025-08-13,inclusive_end_date,Niedersächsisches Kultusministerium,https://www.mk.niedersachsen.de/download/97935/Ferienordnung_fuer_die_Schuljahre_2024_25_bis_2029_30.pdf,2026-05-24,verified,True,
ni-autumn-2025-26,NI,Niedersachsen,2025/26,school_holiday,autumn,Herbstferien,Autumn holidays,2025-10-13,2025-10-25,inclusive_end_date,Niedersächsisches Kultusministerium,https://www.mk.niedersachsen.de/download/97935/Ferienordnung_fuer_die_Schuljahre_2024_25_bis_2029_30.pdf,2026-05-24,verified,True,
ni-christmas-2025-26,NI,Niedersachsen,2025/26,school_holiday,christmas,Weihnachtsferien,Christmas holidays,2025-12-22,2026-01-05,inclusive_end_date,Niedersächsisches Kultusministerium,https://www.mk.niedersachsen.de/download/97935/Ferienordnung_fuer_die_Schuljahre_2024_25_bis_2029_30.pdf,2026-05-24,verified,True,
ni-winter-2025-26,NI,Niedersachsen,2025/26,school_holiday,winter,Halbjahresferien,Mid-year holidays,2026-02-02,2026-02-03,inclusive_end_date,Niedersächsisches Kultusministerium,https://www.mk.niedersachsen.de/download/97935/Ferienordnung_fuer_die_Schuljahre_2024_25_bis_2029_30.pdf,2026-05-24,verified,True,
ni-easter-2025-26,NI,Niedersachsen,2025/26,school_holiday,easter,Osterferien,Easter holidays,2026-03-23,2026-04-07,inclusive_end_date,Niedersächsisches Kultusministerium,https://www.mk.niedersachsen.de/download/97935/Ferienordnung_fuer_die_Schuljahre_2024_25_bis_2029_30.pdf,2026-05-24,verified,True,
ni-school-free-2026-05-15,NI,Niedersachsen,2025/26,state_school_free_day,other,Tag nach Himmelfahrt,Day after Ascension Day,2026-05-15,2026-05-15,inclusive_end_date,Niedersächsisches Kultusministerium,https://www.mk.niedersachsen.de/download/97935/Ferienordnung_fuer_die_Schuljahre_2024_25_bis_2029_30.pdf,2026-05-24,verified,True,Official state-level single school holiday listed in the Ferienordnung.
ni-pentecost-2025-26,NI,Niedersachsen,2025/26,school_holiday,pentecost,Pfingsten,Pentecost holiday,2026-05-26,2026-05-26,inclusive_end_date,Niedersächsisches Kultusministerium,https://www.mk.niedersachsen.de/download/97935/Ferienordnung_fuer_die_Schuljahre_2024_25_bis_2029_30.pdf,2026-05-24,verified,True,
ni-summer-2026-27,NI,Niedersachsen,2026/27,school_holiday,summer,Sommerferien,Summer holidays,2026-07-02,2026-08-12,inclusive_end_date,Niedersächsisches Kultusministerium,https://www.mk.niedersachsen.de/download/97935/Ferienordnung_fuer_die_Schuljahre_2024_25_bis_2029_30.pdf,2026-05-24,verified,True,
ni-autumn-2026-27,NI,Niedersachsen,2026/27,school_holiday,autumn,Herbstferien,Autumn holidays,2026-10-12,2026-10-24,inclusive_end_date,Niedersächsisches Kultusministerium,https://www.mk.niedersachsen.de/download/97935/Ferienordnung_fuer_die_Schuljahre_2024_25_bis_2029_30.pdf,2026-05-24,verified,True,
ni-christmas-2026-27,NI,Niedersachsen,2026/27,school_holiday,christmas,Weihnachtsferien,Christmas holidays,2026-12-23,2027-01-09,inclusive_end_date,Niedersächsisches Kultusministerium,https://www.mk.niedersachsen.de/download/97935/Ferienordnung_fuer_die_Schuljahre_2024_25_bis_2029_30.pdf,2026-05-24,verified,True,
ni-winter-2026-27,NI,Niedersachsen,2026/27,school_holiday,winter,Halbjahresferien,Mid-year holidays,2027-02-01,2027-02-02,inclusive_end_date,Niedersächsisches Kultusministerium,https://www.mk.niedersachsen.de/download/97935/Ferienordnung_fuer_die_Schuljahre_2024_25_bis_2029_30.pdf,2026-05-24,verified,True,
ni-easter-2026-27,NI,Niedersachsen,2026/27,school_holiday,easter,Osterferien,Easter holidays,2027-03-22,2027-04-03,inclusive_end_date,Niedersächsisches Kultusministerium,https://www.mk.niedersachsen.de/download/97935/Ferienordnung_fuer_die_Schuljahre_2024_25_bis_2029_30.pdf,2026-05-24,verified,True,
ni-school-free-2027-05-07,NI,Niedersachsen,2026/27,state_school_free_day,other,Tag nach Himmelfahrt,Day after Ascension Day,2027-05-07,2027-05-07,inclusive_end_date,Niedersächsisches Kultusministerium,https://www.mk.niedersachsen.de/download/97935/Ferienordnung_fuer_die_Schuljahre_2024_25_bis_2029_30.pdf,2026-05-24,verified,True,Official state-level single school holiday listed in the Ferienordnung.
ni-pentecost-2026-27,NI,Niedersachsen,2026/27,school_holiday,pentecost,Pfingsten,Pentecost holiday,2027-05-18,2027-05-18,inclusive_end_date,Niedersächsisches Kultusministerium,https://www.mk.niedersachsen.de/download/97935/Ferienordnung_fuer_die_Schuljahre_2024_25_bis_2029_30.pdf,2026-05-24,verified,True,
