id,bundeslandCode,bundeslandName,schoolYear,category,type,name_de,name_en,startDate,endDate,dateSemantics,sourceName,sourceUrl,lastCheckedAt,status,includeInDefaultCalendar
nw-summer-2025-26,NW,Nordrhein-Westfalen,2025/26,school_holiday,summer,Sommerferien,Summer holidays,2025-07-14,2025-08-26,inclusive_end_date,Ministerium für Schule und Bildung des Landes Nordrhein-Westfalen,https://www.schulministerium.nrw/service/ferienordnung-fuer-nordrhein-westfalen-fuer-die-schuljahre-bis-202930,2026-05-24,verified,True
nw-autumn-2025-26,NW,Nordrhein-Westfalen,2025/26,school_holiday,autumn,Herbstferien,Autumn holidays,2025-10-13,2025-10-25,inclusive_end_date,Ministerium für Schule und Bildung des Landes Nordrhein-Westfalen,https://www.schulministerium.nrw/service/ferienordnung-fuer-nordrhein-westfalen-fuer-die-schuljahre-bis-202930,2026-05-24,verified,True
nw-christmas-2025-26,NW,Nordrhein-Westfalen,2025/26,school_holiday,christmas,Weihnachtsferien,Christmas holidays,2025-12-22,2026-01-06,inclusive_end_date,Ministerium für Schule und Bildung des Landes Nordrhein-Westfalen,https://www.schulministerium.nrw/service/ferienordnung-fuer-nordrhein-westfalen-fuer-die-schuljahre-bis-202930,2026-05-24,verified,True
nw-easter-2025-26,NW,Nordrhein-Westfalen,2025/26,school_holiday,easter,Osterferien,Easter holidays,2026-03-30,2026-04-11,inclusive_end_date,Ministerium für Schule und Bildung des Landes Nordrhein-Westfalen,https://www.schulministerium.nrw/service/ferienordnung-fuer-nordrhein-westfalen-fuer-die-schuljahre-bis-202930,2026-05-24,verified,True
nw-pentecost-2025-26,NW,Nordrhein-Westfalen,2025/26,school_holiday,pentecost,Pfingsten,Pentecost holiday,2026-05-26,2026-05-26,inclusive_end_date,Ministerium für Schule und Bildung des Landes Nordrhein-Westfalen,https://www.schulministerium.nrw/service/ferienordnung-fuer-nordrhein-westfalen-fuer-die-schuljahre-bis-202930,2026-05-24,verified,True
nw-summer-2026-27,NW,Nordrhein-Westfalen,2026/27,school_holiday,summer,Sommerferien,Summer holidays,2026-07-20,2026-09-01,inclusive_end_date,Ministerium für Schule und Bildung des Landes Nordrhein-Westfalen,https://www.schulministerium.nrw/service/ferienordnung-fuer-nordrhein-westfalen-fuer-die-schuljahre-bis-202930,2026-05-24,verified,True
nw-autumn-2026-27,NW,Nordrhein-Westfalen,2026/27,school_holiday,autumn,Herbstferien,Autumn holidays,2026-10-17,2026-10-31,inclusive_end_date,Ministerium für Schule und Bildung des Landes Nordrhein-Westfalen,https://www.schulministerium.nrw/service/ferienordnung-fuer-nordrhein-westfalen-fuer-die-schuljahre-bis-202930,2026-05-24,verified,True
nw-christmas-2026-27,NW,Nordrhein-Westfalen,2026/27,school_holiday,christmas,Weihnachtsferien,Christmas holidays,2026-12-23,2027-01-06,inclusive_end_date,Ministerium für Schule und Bildung des Landes Nordrhein-Westfalen,https://www.schulministerium.nrw/service/ferienordnung-fuer-nordrhein-westfalen-fuer-die-schuljahre-bis-202930,2026-05-24,verified,True
nw-easter-2026-27,NW,Nordrhein-Westfalen,2026/27,school_holiday,easter,Osterferien,Easter holidays,2027-03-22,2027-04-03,inclusive_end_date,Ministerium für Schule und Bildung des Landes Nordrhein-Westfalen,https://www.schulministerium.nrw/service/ferienordnung-fuer-nordrhein-westfalen-fuer-die-schuljahre-bis-202930,2026-05-24,verified,True
nw-pentecost-2026-27,NW,Nordrhein-Westfalen,2026/27,school_holiday,pentecost,Pfingsten,Pentecost holiday,2027-05-18,2027-05-18,inclusive_end_date,Ministerium für Schule und Bildung des Landes Nordrhein-Westfalen,https://www.schulministerium.nrw/service/ferienordnung-fuer-nordrhein-westfalen-fuer-die-schuljahre-bis-202930,2026-05-24,verified,True
