id,bundeslandCode,bundeslandName,schoolYear,category,type,name_de,name_en,startDate,endDate,dateSemantics,sourceName,sourceUrl,lastCheckedAt,status,includeInDefaultCalendar,notes
sl-autumn-2025-26,SL,Saarland,2025/26,school_holiday,autumn,Herbstferien,Autumn holidays,2025-10-13,2025-10-24,inclusive_end_date,Ministerium für Bildung und Kultur Saarland,https://www.saarland.de/mbk/DE/aktuelles/medieninformationen/2022/11/221110-PM-ferientermine,2026-05-24,verified,True,
sl-christmas-2025-26,SL,Saarland,2025/26,school_holiday,christmas,Weihnachtsferien,Christmas holidays,2025-12-22,2026-01-02,inclusive_end_date,Ministerium für Bildung und Kultur Saarland,https://www.saarland.de/mbk/DE/aktuelles/medieninformationen/2022/11/221110-PM-ferientermine,2026-05-24,verified,True,
sl-winter-2025-26,SL,Saarland,2025/26,school_holiday,winter,Fastnachtsferien,Carnival holidays,2026-02-16,2026-02-20,inclusive_end_date,Ministerium für Bildung und Kultur Saarland,https://www.saarland.de/mbk/DE/aktuelles/medieninformationen/2022/11/221110-PM-ferientermine,2026-05-24,verified,True,
sl-easter-2025-26,SL,Saarland,2025/26,school_holiday,easter,Osterferien,Easter holidays,2026-04-07,2026-04-17,inclusive_end_date,Ministerium für Bildung und Kultur Saarland,https://www.saarland.de/mbk/DE/aktuelles/medieninformationen/2022/11/221110-PM-ferientermine,2026-05-24,verified,True,
sl-summer-2025-26,SL,Saarland,2025/26,school_holiday,summer,Sommerferien,Summer holidays,2026-06-29,2026-08-07,inclusive_end_date,Ministerium für Bildung und Kultur Saarland,https://www.saarland.de/mbk/DE/aktuelles/medieninformationen/2022/11/221110-PM-ferientermine,2026-05-24,verified,True,
sl-autumn-2026-27,SL,Saarland,2026/27,school_holiday,autumn,Herbstferien,Autumn holidays,2026-10-05,2026-10-16,inclusive_end_date,Ministerium für Bildung und Kultur Saarland,https://www.saarland.de/mbk/DE/aktuelles/medieninformationen/2022/11/221110-PM-ferientermine,2026-05-24,verified,True,
sl-christmas-2026-27,SL,Saarland,2026/27,school_holiday,christmas,Weihnachtsferien,Christmas holidays,2026-12-21,2026-12-31,inclusive_end_date,Ministerium für Bildung und Kultur Saarland,https://www.saarland.de/mbk/DE/aktuelles/medieninformationen/2022/11/221110-PM-ferientermine,2026-05-24,verified,True,
sl-winter-2026-27,SL,Saarland,2026/27,school_holiday,winter,Fastnachtsferien,Carnival holidays,2027-02-08,2027-02-12,inclusive_end_date,Ministerium für Bildung und Kultur Saarland,https://www.saarland.de/mbk/DE/aktuelles/medieninformationen/2022/11/221110-PM-ferientermine,2026-05-24,verified,True,
sl-easter-2026-27,SL,Saarland,2026/27,school_holiday,easter,Osterferien,Easter holidays,2027-03-30,2027-04-09,inclusive_end_date,Ministerium für Bildung und Kultur Saarland,https://www.saarland.de/mbk/DE/aktuelles/medieninformationen/2022/11/221110-PM-ferientermine,2026-05-24,verified,True,
sl-summer-2026-27,SL,Saarland,2026/27,school_holiday,summer,Sommerferien,Summer holidays,2027-06-28,2027-08-06,inclusive_end_date,Ministerium für Bildung und Kultur Saarland,https://www.saarland.de/mbk/DE/aktuelles/medieninformationen/2022/11/221110-PM-ferientermine,2026-05-24,verified,True,
sl-autumn-2027-28,SL,Saarland,2027/28,school_holiday,autumn,Herbstferien,Autumn holidays,2027-10-04,2027-10-15,inclusive_end_date,Ministerium für Bildung und Kultur Saarland,https://www.saarland.de/mbk/DE/aktuelles/medieninformationen/2022/11/221110-PM-ferientermine,2026-05-24,verified,True,
