id,bundeslandCode,bundeslandName,schoolYear,category,type,name_de,name_en,startDate,endDate,dateSemantics,sourceName,sourceUrl,lastCheckedAt,status,includeInDefaultCalendar,notes
st-autumn-2025-26,ST,Sachsen-Anhalt,2025/26,school_holiday,autumn,Herbstferien,Autumn holidays,2025-10-13,2025-10-25,inclusive_end_date,Ministerium für Bildung des Landes Sachsen-Anhalt,https://mb.sachsen-anhalt.de/fileadmin/Bibliothek/Landesjournal/Bildung_und_Wissenschaft/Erlasse/Ferienregelung_2024_bis_2030.pdf,2026-05-24,verified,True,
st-christmas-2025-26,ST,Sachsen-Anhalt,2025/26,school_holiday,christmas,Weihnachtsferien,Christmas holidays,2025-12-22,2026-01-05,inclusive_end_date,Ministerium für Bildung des Landes Sachsen-Anhalt,https://mb.sachsen-anhalt.de/fileadmin/Bibliothek/Landesjournal/Bildung_und_Wissenschaft/Erlasse/Ferienregelung_2024_bis_2030.pdf,2026-05-24,verified,True,
st-winter-2025-26,ST,Sachsen-Anhalt,2025/26,school_holiday,winter,Winterferien,Winter holidays,2026-01-31,2026-02-06,inclusive_end_date,Ministerium für Bildung des Landes Sachsen-Anhalt,https://mb.sachsen-anhalt.de/fileadmin/Bibliothek/Landesjournal/Bildung_und_Wissenschaft/Erlasse/Ferienregelung_2024_bis_2030.pdf,2026-05-24,verified,True,
st-easter-2025-26,ST,Sachsen-Anhalt,2025/26,school_holiday,easter,Osterferien,Easter holidays,2026-03-30,2026-04-04,inclusive_end_date,Ministerium für Bildung des Landes Sachsen-Anhalt,https://mb.sachsen-anhalt.de/fileadmin/Bibliothek/Landesjournal/Bildung_und_Wissenschaft/Erlasse/Ferienregelung_2024_bis_2030.pdf,2026-05-24,verified,True,
st-pentecost-2025-26,ST,Sachsen-Anhalt,2025/26,school_holiday,pentecost,Pfingstferien,Pentecost holidays,2026-05-26,2026-05-29,inclusive_end_date,Ministerium für Bildung des Landes Sachsen-Anhalt,https://mb.sachsen-anhalt.de/fileadmin/Bibliothek/Landesjournal/Bildung_und_Wissenschaft/Erlasse/Ferienregelung_2024_bis_2030.pdf,2026-05-24,verified,True,
st-summer-2025-26,ST,Sachsen-Anhalt,2025/26,school_holiday,summer,Sommerferien,Summer holidays,2026-07-04,2026-08-14,inclusive_end_date,Ministerium für Bildung des Landes Sachsen-Anhalt,https://mb.sachsen-anhalt.de/fileadmin/Bibliothek/Landesjournal/Bildung_und_Wissenschaft/Erlasse/Ferienregelung_2024_bis_2030.pdf,2026-05-24,verified,True,
st-autumn-2026-27,ST,Sachsen-Anhalt,2026/27,school_holiday,autumn,Herbstferien,Autumn holidays,2026-10-19,2026-10-30,inclusive_end_date,Ministerium für Bildung des Landes Sachsen-Anhalt,https://mb.sachsen-anhalt.de/fileadmin/Bibliothek/Landesjournal/Bildung_und_Wissenschaft/Erlasse/Ferienregelung_2024_bis_2030.pdf,2026-05-24,verified,True,
st-christmas-2026-27,ST,Sachsen-Anhalt,2026/27,school_holiday,christmas,Weihnachtsferien,Christmas holidays,2026-12-21,2027-01-02,inclusive_end_date,Ministerium für Bildung des Landes Sachsen-Anhalt,https://mb.sachsen-anhalt.de/fileadmin/Bibliothek/Landesjournal/Bildung_und_Wissenschaft/Erlasse/Ferienregelung_2024_bis_2030.pdf,2026-05-24,verified,True,
st-winter-2026-27,ST,Sachsen-Anhalt,2026/27,school_holiday,winter,Winterferien,Winter holidays,2027-02-01,2027-02-06,inclusive_end_date,Ministerium für Bildung des Landes Sachsen-Anhalt,https://mb.sachsen-anhalt.de/fileadmin/Bibliothek/Landesjournal/Bildung_und_Wissenschaft/Erlasse/Ferienregelung_2024_bis_2030.pdf,2026-05-24,verified,True,
st-easter-2026-27,ST,Sachsen-Anhalt,2026/27,school_holiday,easter,Osterferien,Easter holidays,2027-03-22,2027-03-27,inclusive_end_date,Ministerium für Bildung des Landes Sachsen-Anhalt,https://mb.sachsen-anhalt.de/fileadmin/Bibliothek/Landesjournal/Bildung_und_Wissenschaft/Erlasse/Ferienregelung_2024_bis_2030.pdf,2026-05-24,verified,True,
