id,bundeslandCode,bundeslandName,schoolYear,category,type,name_de,name_en,startDate,endDate,dateSemantics,sourceName,sourceUrl,lastCheckedAt,status,includeInDefaultCalendar,notes
sn-summer-2025-26,SN,Sachsen,2025/26,school_holiday,summer,Sommerferien,Summer holidays,2026-07-04,2026-08-14,inclusive_end_date,Sächsisches Staatsministerium für Kultus,https://www.schule.sachsen.de/schuljahrestermine-4793.html,2026-05-24,partial,True,Official page currently lists Sommerferien and one unterrichtsfreier Tag for 2025/26 only.
sn-school-free-2026-05-15,SN,Sachsen,2025/26,state_school_free_day,other,Unterrichtsfreier Tag,School-free day,2026-05-15,2026-05-15,inclusive_end_date,Sächsisches Staatsministerium für Kultus,https://www.schule.sachsen.de/schuljahrestermine-4793.html,2026-05-24,verified,True,Included because Sachsen states the unterrichtsfreier Tag is set by the Kultusministerium.
sn-autumn-2026-27,SN,Sachsen,2026/27,school_holiday,autumn,Herbstferien,Autumn holidays,2026-10-12,2026-10-24,inclusive_end_date,Sächsisches Staatsministerium für Kultus,https://www.schule.sachsen.de/schuljahrestermine-4793.html,2026-05-24,verified,True,
sn-christmas-2026-27,SN,Sachsen,2026/27,school_holiday,christmas,Weihnachtsferien,Christmas holidays,2026-12-23,2027-01-02,inclusive_end_date,Sächsisches Staatsministerium für Kultus,https://www.schule.sachsen.de/schuljahrestermine-4793.html,2026-05-24,verified,True,
sn-winter-2026-27,SN,Sachsen,2026/27,school_holiday,winter,Winterferien,Winter holidays,2027-02-08,2027-02-19,inclusive_end_date,Sächsisches Staatsministerium für Kultus,https://www.schule.sachsen.de/schuljahrestermine-4793.html,2026-05-24,verified,True,
sn-easter-2026-27,SN,Sachsen,2026/27,school_holiday,easter,Osterferien,Easter holidays,2027-03-26,2027-04-02,inclusive_end_date,Sächsisches Staatsministerium für Kultus,https://www.schule.sachsen.de/schuljahrestermine-4793.html,2026-05-24,verified,True,
sn-pentecost-2026-27,SN,Sachsen,2026/27,school_holiday,pentecost,Pfingstferien,Pentecost holidays,2027-05-15,2027-05-18,inclusive_end_date,Sächsisches Staatsministerium für Kultus,https://www.schule.sachsen.de/schuljahrestermine-4793.html,2026-05-24,verified,True,
sn-summer-2026-27,SN,Sachsen,2026/27,school_holiday,summer,Sommerferien,Summer holidays,2027-07-10,2027-08-20,inclusive_end_date,Sächsisches Staatsministerium für Kultus,https://www.schule.sachsen.de/schuljahrestermine-4793.html,2026-05-24,verified,True,
sn-school-free-2027-05-07,SN,Sachsen,2026/27,state_school_free_day,other,Unterrichtsfreier Tag,School-free day,2027-05-07,2027-05-07,inclusive_end_date,Sächsisches Staatsministerium für Kultus,https://www.schule.sachsen.de/schuljahrestermine-4793.html,2026-05-24,verified,True,Included because Sachsen states the unterrichtsfreier Tag is set by the Kultusministerium.
sn-autumn-2027-28,SN,Sachsen,2027/28,school_holiday,autumn,Herbstferien,Autumn holidays,2027-10-11,2027-10-23,inclusive_end_date,Sächsisches Staatsministerium für Kultus,https://www.schule.sachsen.de/schuljahrestermine-4793.html,2026-05-24,verified,True,
sn-christmas-2027-28,SN,Sachsen,2027/28,school_holiday,christmas,Weihnachtsferien,Christmas holidays,2027-12-23,2028-01-01,inclusive_end_date,Sächsisches Staatsministerium für Kultus,https://www.schule.sachsen.de/schuljahrestermine-4793.html,2026-05-24,verified,True,
sn-winter-2027-28,SN,Sachsen,2027/28,school_holiday,winter,Winterferien,Winter holidays,2028-02-14,2028-02-26,inclusive_end_date,Sächsisches Staatsministerium für Kultus,https://www.schule.sachsen.de/schuljahrestermine-4793.html,2026-05-24,verified,True,
