id,bundeslandCode,bundeslandName,schoolYear,category,type,name_de,name_en,startDate,endDate,dateSemantics,sourceName,sourceUrl,lastCheckedAt,status,includeInDefaultCalendar,notes
sh-autumn-2025-26,SH,Schleswig-Holstein,2025/26,school_holiday,autumn,Herbstferien,Autumn holidays,2025-10-20,2025-10-30,inclusive_end_date,"Ministerium für Allgemeine und Berufliche Bildung, Wissenschaft, Forschung und Kultur Schleswig-Holstein",https://www.schleswig-holstein.de/DE/landesregierung/themen/bildung-hochschulen/ferientermine,2026-05-24,verified,True,
sh-christmas-2025-26,SH,Schleswig-Holstein,2025/26,school_holiday,christmas,Weihnachtsferien,Christmas holidays,2025-12-19,2026-01-06,inclusive_end_date,"Ministerium für Allgemeine und Berufliche Bildung, Wissenschaft, Forschung und Kultur Schleswig-Holstein",https://www.schleswig-holstein.de/DE/landesregierung/themen/bildung-hochschulen/ferientermine,2026-05-24,verified,True,
sh-easter-2025-26,SH,Schleswig-Holstein,2025/26,school_holiday,easter,Frühjahr/Ostern,Spring/Easter holidays,2026-03-26,2026-04-10,inclusive_end_date,"Ministerium für Allgemeine und Berufliche Bildung, Wissenschaft, Forschung und Kultur Schleswig-Holstein",https://www.schleswig-holstein.de/DE/landesregierung/themen/bildung-hochschulen/ferientermine,2026-05-24,verified,True,
sh-ascension-2026-05-15,SH,Schleswig-Holstein,2025/26,state_school_free_day,ascension,Himmelfahrt,Ascension holiday,2026-05-15,2026-05-15,inclusive_end_date,"Ministerium für Allgemeine und Berufliche Bildung, Wissenschaft, Forschung und Kultur Schleswig-Holstein",https://www.schleswig-holstein.de/DE/landesregierung/themen/bildung-hochschulen/ferientermine,2026-05-24,verified,True,Official state-level Himmelfahrt holiday listed in the official 2025/26 PDF.
sh-summer-2026-27,SH,Schleswig-Holstein,2026/27,school_holiday,summer,Sommerferien,Summer holidays,2026-07-04,2026-08-15,inclusive_end_date,"Ministerium für Allgemeine und Berufliche Bildung, Wissenschaft, Forschung und Kultur Schleswig-Holstein",https://www.schleswig-holstein.de/DE/landesregierung/themen/bildung-hochschulen/ferientermine,2026-05-24,verified,True,
sh-autumn-2026-27,SH,Schleswig-Holstein,2026/27,school_holiday,autumn,Herbstferien,Autumn holidays,2026-10-12,2026-10-24,inclusive_end_date,"Ministerium für Allgemeine und Berufliche Bildung, Wissenschaft, Forschung und Kultur Schleswig-Holstein",https://www.schleswig-holstein.de/DE/landesregierung/themen/bildung-hochschulen/ferientermine,2026-05-24,verified,True,
sh-christmas-2026-27,SH,Schleswig-Holstein,2026/27,school_holiday,christmas,Weihnachtsferien,Christmas holidays,2026-12-21,2027-01-06,inclusive_end_date,"Ministerium für Allgemeine und Berufliche Bildung, Wissenschaft, Forschung und Kultur Schleswig-Holstein",https://www.schleswig-holstein.de/DE/landesregierung/themen/bildung-hochschulen/ferientermine,2026-05-24,verified,True,
sh-easter-2026-27,SH,Schleswig-Holstein,2026/27,school_holiday,easter,Frühjahr/Ostern,Spring/Easter holidays,2027-03-30,2027-04-10,inclusive_end_date,"Ministerium für Allgemeine und Berufliche Bildung, Wissenschaft, Forschung und Kultur Schleswig-Holstein",https://www.schleswig-holstein.de/DE/landesregierung/themen/bildung-hochschulen/ferientermine,2026-05-24,verified,True,
sh-ascension-2027-05-07,SH,Schleswig-Holstein,2026/27,state_school_free_day,ascension,Himmelfahrt,Ascension holiday,2027-05-07,2027-05-07,inclusive_end_date,"Ministerium für Allgemeine und Berufliche Bildung, Wissenschaft, Forschung und Kultur Schleswig-Holstein",https://www.schleswig-holstein.de/DE/landesregierung/themen/bildung-hochschulen/ferientermine,2026-05-24,verified,True,Official state-level Himmelfahrt holiday listed in the official table.
sh-summer-2027-28,SH,Schleswig-Holstein,2027/28,school_holiday,summer,Sommerferien,Summer holidays,2027-07-03,2027-08-14,inclusive_end_date,"Ministerium für Allgemeine und Berufliche Bildung, Wissenschaft, Forschung und Kultur Schleswig-Holstein",https://www.schleswig-holstein.de/DE/landesregierung/themen/bildung-hochschulen/ferientermine,2026-05-24,verified,True,
