id,bundeslandCode,bundeslandName,schoolYear,category,type,name_de,name_en,startDate,endDate,dateSemantics,sourceName,sourceUrl,lastCheckedAt,status,includeInDefaultCalendar,notes
th-autumn-2025-26,TH,Thüringen,2025/26,school_holiday,autumn,Herbstferien,Autumn holidays,2025-10-06,2025-10-18,inclusive_end_date,"Thüringer Ministerium für Bildung, Wissenschaft und Kultur",https://bildung.thueringen.de/schule/schulwesen/ferien,2026-05-24,verified,True,
th-christmas-2025-26,TH,Thüringen,2025/26,school_holiday,christmas,Weihnachtsferien,Christmas holidays,2025-12-22,2026-01-03,inclusive_end_date,"Thüringer Ministerium für Bildung, Wissenschaft und Kultur",https://bildung.thueringen.de/schule/schulwesen/ferien,2026-05-24,verified,True,
th-winter-2025-26,TH,Thüringen,2025/26,school_holiday,winter,Winterferien,Winter holidays,2026-02-16,2026-02-21,inclusive_end_date,"Thüringer Ministerium für Bildung, Wissenschaft und Kultur",https://bildung.thueringen.de/schule/schulwesen/ferien,2026-05-24,verified,True,
th-easter-2025-26,TH,Thüringen,2025/26,school_holiday,easter,Osterferien,Easter holidays,2026-04-07,2026-04-17,inclusive_end_date,"Thüringer Ministerium für Bildung, Wissenschaft und Kultur",https://bildung.thueringen.de/schule/schulwesen/ferien,2026-05-24,verified,True,
th-school-free-2026-05-15,TH,Thüringen,2025/26,state_school_free_day,other,schulfreier Tag,School-free day,2026-05-15,2026-05-15,inclusive_end_date,"Thüringer Ministerium für Bildung, Wissenschaft und Kultur",https://bildung.thueringen.de/schule/schulwesen/ferien,2026-05-24,verified,True,Official state-wide school-free day.
th-summer-2025-26,TH,Thüringen,2025/26,school_holiday,summer,Sommerferien,Summer holidays,2026-07-04,2026-08-14,inclusive_end_date,"Thüringer Ministerium für Bildung, Wissenschaft und Kultur",https://bildung.thueringen.de/schule/schulwesen/ferien,2026-05-24,verified,True,
th-autumn-2026-27,TH,Thüringen,2026/27,school_holiday,autumn,Herbstferien,Autumn holidays,2026-10-12,2026-10-24,inclusive_end_date,"Thüringer Ministerium für Bildung, Wissenschaft und Kultur",https://bildung.thueringen.de/schule/schulwesen/ferien,2026-05-24,verified,True,
th-christmas-2026-27,TH,Thüringen,2026/27,school_holiday,christmas,Weihnachtsferien,Christmas holidays,2026-12-23,2027-01-02,inclusive_end_date,"Thüringer Ministerium für Bildung, Wissenschaft und Kultur",https://bildung.thueringen.de/schule/schulwesen/ferien,2026-05-24,verified,True,
th-winter-2026-27,TH,Thüringen,2026/27,school_holiday,winter,Winterferien,Winter holidays,2027-02-01,2027-02-06,inclusive_end_date,"Thüringer Ministerium für Bildung, Wissenschaft und Kultur",https://bildung.thueringen.de/schule/schulwesen/ferien,2026-05-24,verified,True,
th-easter-2026-27,TH,Thüringen,2026/27,school_holiday,easter,Osterferien,Easter holidays,2027-03-22,2027-04-03,inclusive_end_date,"Thüringer Ministerium für Bildung, Wissenschaft und Kultur",https://bildung.thueringen.de/schule/schulwesen/ferien,2026-05-24,verified,True,
th-school-free-2027-05-07,TH,Thüringen,2026/27,state_school_free_day,other,schulfreier Tag,School-free day,2027-05-07,2027-05-07,inclusive_end_date,"Thüringer Ministerium für Bildung, Wissenschaft und Kultur",https://bildung.thueringen.de/schule/schulwesen/ferien,2026-05-24,verified,True,Official state-wide school-free day.
th-summer-2026-27,TH,Thüringen,2026/27,school_holiday,summer,Sommerferien,Summer holidays,2027-07-10,2027-08-20,inclusive_end_date,"Thüringer Ministerium für Bildung, Wissenschaft und Kultur",https://bildung.thueringen.de/schule/schulwesen/ferien,2026-05-24,verified,True,
th-autumn-2027-28,TH,Thüringen,2027/28,school_holiday,autumn,Herbstferien,Autumn holidays,2027-10-09,2027-10-23,inclusive_end_date,"Thüringer Ministerium für Bildung, Wissenschaft und Kultur",https://bildung.thueringen.de/schule/schulwesen/ferien,2026-05-24,verified,True,
